region,size(GB),VPU,max_iops,max_throughput(MBps),price($/h),daily_price,weekly_price,monthly_price(730h)
ap-northeast-3,1000,10,50000,468,0.5404,12.97,90.78,394.46
ap-northeast-3,1000,20,50000,585,0.5481,13.15,92.07,400.08
ap-northeast-3,1000,120,50000,680,0.5543,13.3,93.12,404.64
ap-south-1,30,0,60,7,0.0037,0.09,0.63,2.74
ap-south-1,30,10,1800,14,0.0037,0.09,0.63,2.74
ap-south-1,30,20,2250,17,0.0037,0.09,0.63,2.74
ap-south-1,30,120,6750,52,0.033,0.79,5.55,24.11
ap-south-1,200,0,400,46,0.025,0.6,4.2,18.24
ap-south-1,200,10,12000,93,0.0953,2.29,16.0,69.54
ap-south-1,200,20,15000,117,0.1187,2.85,19.94,86.64
ap-south-1,200,120,45000,351,0.367,8.81,61.66,267.95
ap-south-1,1000,0,2000,234,0.1317,3.16,22.13,96.17
ap-south-1,1000,10,50000,468,0.5133,12.32,86.24,374.74
ap-south-1,1000,20,50000,585,0.5207,12.5,87.47,380.08
ap-south-1,1000,120,50000,680,0.5266,12.64,88.47,384.41
ap-south-2,30,0,60,7,0.0037,0.09,0.63,2.74
ap-south-2,30,10,1800,14,0.0037,0.09,0.63,2.74
ap-south-2,30,20,2250,17,0.0037,0.09,0.63,2.74
ap-south-2,30,120,6750,52,0.033,0.79,5.55,24.11
ap-south-2,200,0,400,46,0.025,0.6,4.2,18.24
ap-south-2,200,10,12000,93,0.0953,2.29,16.0,69.54
ap-south-2,200,20,15000,117,0.1187,2.85,19.94,86.64
ap-south-2,200,120,45000,351,0.367,8.81,61.66,267.95
ap-south-2,1000,0,2000,234,0.1317,3.16,22.13,96.17
ap-south-2,1000,10,50000,468,0.5133,12.32,86.24,374.74
ap-south-2,1000,20,50000,585,0.5207,12.5,87.47,380.08
ap-south-2,1000,120,50000,680,0.5266,12.64,88.47,384.41
ap-southeast-1,30,0,60,7,0.0039,0.09,0.66,2.88
ap-southeast-1,30,10,1800,14,0.0039,0.09,0.66,2.88
ap-southeast-1,30,20,2250,17,0.0039,0.09,0.66,2.88
ap-southeast-1,30,120,6750,52,0.0348,0.83,5.84,25.38
ap-southeast-1,200,0,400,46,0.0263,0.63,4.42,19.2
ap-southeast-1,200,10,12000,93,0.1003,2.41,16.85,73.2
